cod_material,nr_qtd_estoque,ds_classe_estoque,ds_tipo_estoque
8bba7ad0038cbca548e4c3230dc9d013fd48f1a6f0700aa399a92ed0017728e0,24.0,Utilização Livre,Matéria Prima
6682a3c7cafa075cff6ca652c42aacecd95b735cd43a7d61a3aa50d035beac03,42.0,Utilização Livre,Matéria Prima
72d6f78b56dbbff8009401a0271eb3f12acb6e20489edf16f53f026fccfa3860,494.0,Utilização Livre,Produto em Elaboração
0f0cb262b80c563ac844aa5ba2457a106c3f73ed09a8228e641a53848de19603,8.0,Utilização Livre,Matéria Prima
bae742f0b7f8cfb5f32e228ff530d75c997fb4334cdbc5e455f2bbd1c2862b95,28.0,Utilização Livre,Matéria Prima
49334a79b9002c503b2eabeb55534b35fa1c6de44240b55b4de4ef32e4a0f030,1.0,Utilização Livre,Matéria Prima
0e87f44cceaca13c13aad325d8c722c5438b756261d2b5f721b40320f3e9bf87,2.0,Utilização Livre,Matéria Prima
39fe6cceb1bbc594f5e73847c64d248b35c11003f9837509cb89b15259614c8c,35.0,Utilização Livre,Matéria Prima
c2004cfd4fd7695d422359bd0c8b8b2eb5fc3ffbc7d927dbd53a03e1c2225951,37650.215,Utilização Livre,Matéria Prima
489325efde2619cc1c09b6427f21b2ad6c8754a1078cc0dbf63738988a348fb3,3.0,Utilização Livre,Matéria Prima
9dc295875fd120c896ee183772a29a74374f13b6ca54e63d469935dd823c84bd,273.0,Utilização Livre,Matéria Prima
4e846d8e0f098cb37038b7200612a8e70e7869d8c4364914ade769a609ec6d97,1416.0,Utilização Livre,Matéria Prima
66b6423614e997dd289af854e3777fb909f420a1d9ec00e26bd507eaa0f5f103,60864.0,Utilização Livre,Matéria Prima
338f14d7d9c7ef806905376d6fdcd25e6d82a30af717fd2387fbf42f61f9e516,17169.0,Utilização Livre,Matéria Prima
ba3dd3aec81941aae036db356206432fd24c86285218d1440b1895be6a4e0200,750.0,Utilização Livre,Matéria Prima
0ca82faffdf55bd5640b49760e7554b13006eee4fe9f5b7d2c2d54f08973c862,5401.0,Utilização Livre,Matéria Prima
f72b4ef56cac1741ef7d22fe711f8a6964bea4ab21c70bfa1a912627d2bbc22a,205.0,Utilização Livre,Matéria Prima
bf0b7d30dc04a38a3b8040e1e55e0d42054b03ac630a5652273ed1cfb9440a7e,1190.0,Utilização Livre,Matéria Prima
4cbd7b686755e5281b252985299a712fc1804d778570e63402c50d42b3294ac1,837.0,Utilização Livre,Matéria Prima
a0f246e85595bcfb7a32dd6db34151dfb3e611f8c34c09a83e0f3e115c9d9daa,883.0,Utilização Livre,Matéria Prima
a12fb6f7587a990fcebb4563bd5c24c841bd71c41a1b166dd1b7de01b88ad32e,22.0,Utilização Livre,Matéria Prima
e5a1370b8aa4bc16484f9d183d4753f00268b34d5709b1b8d0a6f2ffa8e10d90,797.0,Utilização Livre,Matéria Prima
a1e28138ef9d9bfaca6e7d96030c77c4286c982b729b4c190938afe5682089e6,326.0,Utilização Livre,Matéria Prima
49bc6b47262fa4f7e835d205c77e05d5ccf9a25f26fc63dc3a445ea2402b1069,824.0,Utilização Livre,Matéria Prima
0ba1666cbe9cdda51bf7422a9268d20ef17ee2298d5793dcd6119f2eafa441d5,2620.0,Utilização Livre,Matéria Prima
613189936833ce4c4938b0200fab5da963bc514d70fea7e2b8e16ea0d9764306,3412.0,Utilização Livre,Matéria Prima
5dc982a476ca31260057ebacbb043a7d19397c9cbd35e18779b88f234ba9a3e4,3326.0,Utilização Livre,Matéria Prima
11acf6b6d4ad4560b73149b6e36c640c083cc60fc0f822a931a90b636328c31b,348.0,Bloqueado,Matéria Prima
93d48d1d927ac04506b24ea81e721df1872d5cb8cfabd2d93a8bfad165e5a221,52.998,Utilização Livre,Matéria Prima
34b0e6967707a12170a3b3746a8fd5928ebf07d9f71447da3ea167c03edec93a,1.0,Utilização Livre,Matéria Prima
4ba5bbd9d878c563eaa355e346b8dd85eb88201593d11161a8863e3286c92fa9,58.0,Utilização Livre,Matéria Prima
f142e60007721818cfb8afba7f62ff83a12d2e445df5935e18069f13d7eae125,6.0,Utilização Livre,Matéria Prima
08151f173ffbd09b4f57a3a8954707c26b48fc9df7d9211e994a16caf9a9b9ac,1.0,Utilização Livre,Matéria Prima
c3d6842fee05f9713d539d5d9f47134e26df7e2698a3fbb54ec6df8ec27b20d4,5322.0,Utilização Livre,Matéria Prima
a7e190f74b2e04acaddf9796614d8b74acf8b019e4834e49541766f21c9d8bc4,128.0,Utilização Livre,Matéria Prima
c54cecf239814a0d617bce5566551abb3c9c7d9197e5e178f89238e6bd433eab,70.0,Utilização Livre,Produto em Elaboração
2f9272d98cf77062d94ceefcee1547247612e4adaf1b736648e796620846a85b,341.131,Utilização Livre,Matéria Prima
f1a93fe663666d4104976f7b69077d7e8e20418e3eb70fe181d68e5849f45386,2222.387,C/ Fornecedor,Matéria Prima
7dec524810ab37e9c5c0bdb32cbc406a1fbaced81993bad5c3ad29ba128252a8,927.078,Utilização Livre,Sucata
473cd30324be85eabc76cb24439d3e4e4466b64fe2894c716c9f6dab9d7ec1c0,48.0,Utilização Livre,Matéria Prima
