,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
42,frozenset({10027058}),frozenset({100020204}),0.038703217434839024,0.02194169995810898,0.004873662807924555,0.12592397043294615,5.7390252657433,0.004024448423555866,1.1189625009237942,0.8590004644758427
43,frozenset({100020204}),frozenset({10027058}),0.02194169995810898,0.038703217434839024,0.004873662807924555,0.22211874272409776,5.7390252657433,0.004024448423555866,1.235788590576883,0.8442793059342564
44,frozenset({10027058}),frozenset({100020205}),0.038703217434839024,0.021078336211212488,0.0048021415507852015,0.12407602956705387,5.886424256818354,0.0039863421212380035,1.1175874811428352,0.8635393300987451
45,frozenset({100020205}),frozenset({10027058}),0.021078336211212488,0.038703217434839024,0.0048021415507852015,0.22782355792535147,5.886424256818354,0.0039863421212380035,1.2449185577099353,0.8479918366803091
46,frozenset({10027058}),frozenset({100020206}),0.038703217434839024,0.022677347174399478,0.004955401387512388,0.12803590285110877,5.645982392316544,0.004077715088976273,1.1208290066313578,0.8560133768050279
47,frozenset({100020206}),frozenset({10027058}),0.022677347174399478,0.038703217434839024,0.004955401387512388,0.21851768416309977,5.645982392316543,0.004077715088976273,1.2300940956491062,0.8419767029612198
48,frozenset({100011848}),frozenset({10027271}),0.01684836471754212,0.012439590081023367,0.004173776220203733,0.24772589448150395,19.91431332286508,0.003964189469581932,1.3127667198358666,0.966061416669957
49,frozenset({10027271}),frozenset({100011848}),0.012439590081023367,0.01684836471754212,0.004173776220203733,0.33552361396303904,19.91431332286508,0.003964189469581932,1.4795885240499291,0.9617486201783647
50,frozenset({10027272}),frozenset({100011848}),0.010416560236224495,0.01684836471754212,0.003264434522289089,0.31338891613536046,18.600553904739925,0.0030889325163269317,1.431890131672094,0.9561984590039522
51,frozenset({100011848}),frozenset({10027272}),0.01684836471754212,0.010416560236224495,0.003264434522289089,0.19375379017586417,18.600553904739925,0.0030889325163269317,1.2273960828660893,0.9624539350800142
52,frozenset({10035289}),frozenset({10032109}),0.015831741133918446,0.050049554013875126,0.004587577779367139,0.28977089383672155,5.789679839232713,0.0037952061963513993,1.3375267751526585,0.8405868307339377
53,frozenset({10032109}),frozenset({10035289}),0.050049554013875126,0.015831741133918446,0.004587577779367139,0.09166071246299888,5.789679839232713,0.0037952061963513993,1.083480889101135,0.8708652973686382
54,frozenset({10035291}),frozenset({10032109}),0.014421750636028323,0.050049554013875126,0.004357688024276358,0.30216082182075804,6.037233053804848,0.0036358858368438205,1.3612741670146349,0.846570231121797
55,frozenset({10032109}),frozenset({10035291}),0.050049554013875126,0.014421750636028323,0.004357688024276358,0.08706746963356128,6.037233053804848,0.0036358858368438205,1.0795740282892252,0.8783207691286882
56,frozenset({10035299}),frozenset({10032109}),0.015019463999264352,0.050049554013875126,0.004480295893658108,0.2982993197278912,5.960079477335489,0.003728578418967474,1.3537829913714043,0.8449070535816419
57,frozenset({10032109}),frozenset({10035299}),0.050049554013875126,0.015019463999264352,0.004480295893658108,0.08951719914259466,5.960079477335489,0.003728578418967474,1.0818222321972206,0.8760635947107113
58,frozenset({10032109}),frozenset({10035311}),0.050049554013875126,0.012184157019811388,0.0036629100977797757,0.07318566908237215,6.006625568217198,0.00305309847290319,1.065818481682479,0.8774322675554332
59,frozenset({10035311}),frozenset({10032109}),0.012184157019811388,0.050049554013875126,0.0036629100977797757,0.30062893081761005,6.006625568217198,0.00305309847290319,1.3582924542427504,0.8437981429536735
60,frozenset({10036714}),frozenset({10032109}),0.025129504562034475,0.050049554013875126,0.008010380799607655,0.3187639764179711,6.368967370410551,0.00675266030368819,1.3944512813505663,0.8647186265677331
