ID,Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor,Período Ocorrido
150,18,2000-09-23,15h45,Sábado,Flamengo,Santos,Flamengo,Maracanã,3,0,RJ,SP,RJ,tarde
151,18,2000-09-23,18h00,Sábado,Grêmio,Vitória,Grêmio,Olímpico Monumental,1,0,RS,ES,RS,tarde
152,18,2000-09-23,18h00,Sábado,Guarani,Coritiba,Guarani,Brinco de Ouro,2,0,SP,PR,SP,tarde
153,18,2000-09-24,18h30,Domingo,Santa cruz,Atlético-mg,Atlético-mg,Arruda,1,2,PE,MG,MG,tarde
154,18,2000-09-24,17h00,Domingo,Corinthians,Ponte preta,Corinthians,Pacaembu,1,0,SP,SP,SP,tarde
155,18,2000-09-24,17h00,Domingo,Goiás,Cruzeiro,Goiás,Serra Dourada,2,0,GO,MG,GO,tarde
156,18,2000-09-24,18h30,Domingo,Fluminense,Palmeiras,Palmeiras,Maracanã,0,1,RJ,SP,SP,tarde
157,18,2000-09-24,16h00,Domingo,Portuguesa,Sport,Portuguesa,Canindé,1,0,SP,PE,SP,tarde
158,18,2000-09-24,17h00,Domingo,Gama,São paulo,São paulo,Mané Garrincha,1,3,DF,SP,SP,tarde
159,18,2000-09-24,18h30,Domingo,Juventude,Vasco,Vasco,Alfredo Jaconi,1,2,RS,RJ,RJ,tarde
160,19,2000-09-27,20h30,Quarta-feira,Botafogo-rj,Vitória,-,Maracanã,0,0,RJ,ES,-,noite
161,19,2000-09-27,20h30,Quarta-feira,Portuguesa,Guarani,Guarani,Canindé,2,3,SP,SP,SP,noite
162,19,2000-09-27,20h30,Quarta-feira,Ponte preta,Sport,Ponte preta,Moisés Lucarelli,3,0,SP,PE,SP,noite
163,19,2000-09-27,20h30,Quarta-feira,Santa cruz,Juventude,Santa cruz,Arruda,2,1,PE,RS,PE,noite
164,19,2000-09-27,20h30,Quarta-feira,São paulo,América-mg,São paulo,Morumbi,3,0,SP,MG,SP,noite
165,19,2000-09-28,20h30,Quinta-feira,Corinthians,Athlético-pr,Athlético-pr,Pacaembu,2,3,SP,PR,PR,noite
